"Statistic Label","Month","Airports in Ireland","Country","Direction","Flight Type","UNIT","VALUE"
"Passengers","2021M01","All main airports","All Countries","All directions","All flights","Thousand","206.9"
"Passengers","2021M01","All main airports","Ireland (domestic)","All directions","All flights","Thousand","2.2"
"Passengers","2021M01","All main airports","Europe (2)","All directions","All flights","Thousand","179.7"
"Passengers","2021M01","All main airports","EU28 excluding Ireland","All directions","All flights","Thousand","164.5"
"Passengers","2021M01","All main airports","Austria","All directions","All flights","Thousand","0.4"
"Passengers","2021M01","All main airports","Belgium","All directions","All flights","Thousand","2.3"
"Passengers","2021M01","All main airports","Bulgaria","All directions","All flights","Thousand","2.4"
"Passengers","2021M01","All main airports","Croatia","All directions","All flights","Thousand","0"
"Passengers","2021M01","All main airports","Cyprus","All directions","All flights","Thousand","0.1"
"Passengers","2021M01","All main airports","Czech Republic","All directions","All flights","Thousand","0"
"Passengers","2021M01","All main airports","Denmark","All directions","All flights","Thousand","0.7"
"Passengers","2021M01","All main airports","Estonia","All directions","All flights","Thousand","0"
"Passengers","2021M01","All main airports","Finland","All directions","All flights","Thousand","0.6"
"Passengers","2021M01","All main airports","France","All directions","All flights","Thousand","14.8"
"Passengers","2021M01","All main airports","Germany","All directions","All flights","Thousand","7.8"
"Passengers","2021M01","All main airports","Greece","All directions","All flights","Thousand","0.4"
"Passengers","2021M01","All main airports","Hungary","All directions","All flights","Thousand","3.1"
"Passengers","2021M01","All main airports","Italy","All directions","All flights","Thousand","5.2"
"Passengers","2021M01","All main airports","Latvia","All directions","All flights","Thousand","3"
"Passengers","2021M01","All main airports","Lithuania","All directions","All flights","Thousand","3.5"
"Passengers","2021M01","All main airports","Luxembourg","All directions","All flights","Thousand","0.5"
"Passengers","2021M01","All main airports","Malta","All directions","All flights","Thousand","0.5"
"Passengers","2021M01","All main airports","Netherlands","All directions","All flights","Thousand","17.7"
"Passengers","2021M01","All main airports","Poland","All directions","All flights","Thousand","18.5"
"Passengers","2021M01","All main airports","Portugal","All directions","All flights","Thousand","10.8"
"Passengers","2021M01","All main airports","Romania","All directions","All flights","Thousand","9.5"
"Passengers","2021M01","All main airports","Slovakia","All directions","All flights","Thousand","1.3"
