,Physician_Name,NPI,Physician_Specialty,Company,Nature_of_Payment,Therapeutic_Area,Drug,Total_Payment,Number_of_Payments
0,"ABASSI, MAHSA",1952620858.0,INFECTIOUS DISEASE,"INSMED, INC.",EDUCATION,RESPIRATORY,ARIKAYCE,16.24,1
1,"ABDELMALEK, MANAL",1013964873.0,GASTROENTEROLOGY,CORCEPT THERAPEUTICS,CONSULTING FEE,ENDOCRINOLOGY,KORLYM,9750.0,1
2,"ABIDI, SYED",1487960357.0,CARDIOVASCULAR DISEASE,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,CARDIOVASCULAR,LEQVIO,15.77,1
3,"ABRAM, NICHOLAS",1437374303.0,EMERGENCY MEDICINE,ABBVIE INC.,FOOD AND BEVERAGE,ANTI-INFECTIVE,AVYCAZ,3.25,1
4,"ABRAM, NICHOLAS",1437374303.0,EMERGENCY MEDICINE,ABBVIE INC.,FOOD AND BEVERAGE,ANTI-INFECTIVE,DALVANCE,147.52,10
5,"ABRAMOWSKI, DEREK",1952741290.0,DENTIST,ELEVATE ORAL CARE,FOOD AND BEVERAGE,DENTISTRY,FLUORIMAX 5000,18.33,1
6,"ABRAMS, SCOTT",1265498430.0,FAMILY MEDICINE,"USWM, LLC",GIFT,"TRAUMA (EMERGENCY, INJURY, SURGERY)",ZIMHI,506.4,1
7,"ABUZZAHAB, MARY",1174515274.0,PEDIATRIC ENDOCRINOLOGY,PFIZER INC.,HONORARIA,ENDOCRINE DISEASE,GENOTROPIN,1200.0,1
8,"ACAR, UTKUCAN",1609397421.0,ALLERGY & IMMUNOLOGY,HORIZON THERAPEUTICS PLC,FOOD AND BEVERAGE,ACTIMMUNE,ACTIMMUNE,86.7,1
9,"ACAR, UTKUCAN",1609397421.0,INTERNAL MEDICINE,HORIZON THERAPEUTICS PLC,FOOD AND BEVERAGE,ACTIMMUNE,ACTIMMUNE,108.41,1
10,"ACOSTA, ANDRES",1245466275.0,GASTROENTEROLOGY,VIVUS LLC,FOOD AND BEVERAGE,ENDOCRINOLOGY,QSYMIA,71.17,1
11,"ACQUAYE, JOSEPH",1477907186.0,UROLOGY,BAYER HEALTHCARE PHARMACEUTICALS INC.,FOOD AND BEVERAGE,ONCOLOGY,NUBEQA,25.83,1
12,"ACQUAYE, JOSEPH",1477907186.0,UROLOGY,MYOVANT SCIENCES INC.,FOOD AND BEVERAGE,HORMONE THERAPY,ORGOVYX,94.57000000000001,5
13,"ACQUAYE, JOSEPH",1477907186.0,UROLOGY,"UROGEN PHARMA, INC.",FOOD AND BEVERAGE,UROTHELIAL CANCER,JELMYTO,21.45,1
14,"ADAMS, BRADLEY",1477652212.0,OPTOMETRIST,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,12.2,1
15,"ADEDIRAN, ISAAC",1063826998.0,FAMILY MEDICINE,"NEUROCRINE BIOSCIENCES, INC.",FOOD AND BEVERAGE,NEUROPSYCHIATRY,INGREZZA,52.94,1
16,"ADEFRIS, WANDA",1235115577.0,OBSTETRICS & GYNECOLOGY,DAIICHI SANKYO INC.,FOOD AND BEVERAGE,IRON DEFICIENCY ANEMIA,INJECTAFER,24.41,1
17,"ADEKOLA, BABATUNDE",1184856692.0,INTERVENTIONAL PAIN MEDICINE,"GRT US HOLDING, INC.",FOOD AND BEVERAGE,PAIN MANAGEMENT,QUTENZA,45.0,1
18,"AFIAT, SANAZ",1962440610.0,OPHTHALMOLOGY,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,OPHTHALMOLOGY,XIIDRA,14.47,1
19,"AGARWAL, CHIRAG",1588046403.0,CARDIOVASCULAR DISEASE,ALNYLAM PHARMACEUTICALS INC.,FOOD AND BEVERAGE,GENETIC DISEASE,ONPATTRO,32.63,1
20,"AGASHE, SHRUTI",1306376405.0,NEUROLOGY,"JANSSEN PHARMACEUTICALS, INC",FOOD AND BEVERAGE,CARDIOVASCULAR & METABOLISM,XARELTO,35.18,2
21,"AGGARWAL, ANJALI",1124432885.0,CLINICAL GENETICS (M.D.),HORIZON THERAPEUTICS PLC,FOOD AND BEVERAGE,RAVICTI,RAVICTI,119.81,1
22,"AGGARWAL, ANJALI",1124432885.0,CLINICAL GENETICS (M.D.),HORIZON THERAPEUTICS PLC,HONORARIA,RAVICTI,RAVICTI,1600.0,1
23,"AGGARWAL, RAJIV",1942247986.0,NEUROLOGY,ALMATICA PHARMA LLC,FOOD AND BEVERAGE,POSTHERPETIC NEURALGIA,GRALISE,12.22,1
24,"AGGARWAL, RAJIV",1942247986.0,NEUROLOGY,"BANNER LIFE SCIENCES, LLC",FOOD AND BEVERAGE,IMMUNE,BAFIERTAM,17.8,1
25,"AGGARWAL, RAJIV",1942247986.0,NEUROLOGY,BIOHAVEN PHARMACEUTICAL HOLDING COMPANY LTD.,"COMPENSATION FOR SERVICES OTHER THAN CONSULTING, INCLUDING SERVING AS FACULTY OR AS A SPEAKER AT A VENUE OTHER THAN A CONTINUING EDUCATION PROGRAM",PRIMARY CARE,NURTEC ODT,1125.0,1
26,"AGGARWAL, RAJIV",1942247986.0,NEUROLOGY,CELGENE CORPORATION,FOOD AND BEVERAGE,NEUROSCIENCE,ZEPOSIA,19.16,1
27,"AGGARWAL, RAJIV",1942247986.0,NEUROLOGY,"JANSSEN PHARMACEUTICALS, INC",FOOD AND BEVERAGE,NEUROSCIENCE,PONVORY,14.37,1
28,"AGGARWAL, RAJIV",1942247986.0,NEUROLOGY,JAZZ PHARMACEUTICALS INC.,FOOD AND BEVERAGE,NEUROLOGY,XYWAV,26.700000000000003,2
29,"AGGARWAL, RAJIV",1942247986.0,NEUROLOGY,"MDD US OPERATIONS, LLC",FOOD AND BEVERAGE,NEUROLOGY,APOKYN,16.98,1
30,"AGGARWAL, RAJIV",1942247986.0,NEUROLOGY,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,NEUROSCIENCE,KESIMPTA,36.58,2
31,"AGGARWAL, RAJIV",1942247986.0,NEUROLOGY,PFIZER INC.,FOOD AND BEVERAGE,IMMUNOLOGY,OCTAGAM IMMUNE GLOBULIN (HUMAN),19.1,1
32,"AHMAD, ABDULQADIR",1366707556.0,INTERNAL MEDICINE,"INSMED, INC.",EDUCATION,RESPIRATORY,ARIKAYCE,16.24,1
33,"AHMED, ADNAN",1063737153.0,PSYCHIATRY,"JANSSEN BIOTECH, INC.",FOOD AND BEVERAGE,IMMUNOLOGY,TREMFYA,19.4,1
34,"AHMED, SHAWN",1942443080.0,DIAGNOSTIC RADIOLOGY,"JANSSEN PHARMACEUTICALS, INC",FOOD AND BEVERAGE,CARDIOVASCULAR & METABOLISM,XARELTO,181.91,12
35,"AHMED, YASMINA",1982053989.0,OTOLARYNGOLOGY,EYEVANCE PHARMACEUTICALS LLC,FOOD AND BEVERAGE,OPHTHALMIC,FLAREX,15.28,1
36,"AHO, KIMBERLY",1154325173.0,NEUROLOGY,ACADIA PHARMACEUTICALS INC,FOOD AND BEVERAGE,PARKINSONS DISEASE PSYCHOSIS,NUPLAZID,12.82,1
37,"AHO, KIMBERLY",1154325173.0,NEUROLOGY,"CORIUM, LLC",FOOD AND BEVERAGE,TREATMENT OF DEMENTIA OF THE ALZHEIMERS TYPE,ADLARITY,16.4,1
38,"AHO, KIMBERLY",1154325173.0,NEUROLOGY,IMPEL PHARMACEUTICALS INC.,FOOD AND BEVERAGE,MIGRAINE,TRUDHESA,17.46,1
39,"AHO, KIMBERLY",1154325173.0,NEUROLOGY,"JANSSEN PHARMACEUTICALS, INC",FOOD AND BEVERAGE,NEUROSCIENCE,PONVORY,34.230000000000004,2
40,"AHO, KIMBERLY",1154325173.0,NEUROLOGY,"KYOWA KIRIN, INC.",FOOD AND BEVERAGE,ADENOSINE A2A RECEPTORS,NOURIANZ,14.89,1
41,"AHO, KIMBERLY",1154325173.0,NEUROLOGY,"LILLY USA, LLC",FOOD AND BEVERAGE,NEUROSCIENCE,EMGALITY,11.94,1
42,"AHO, KIMBERLY",1154325173.0,NEUROLOGY,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,NEUROSCIENCE,KESIMPTA,15.24,1
43,"AICHBHAUMIK, NILADRI",1437379369.0,ALLERGY & IMMUNOLOGY,"BIOCRYST US SALES CO., LLC",FOOD AND BEVERAGE,IMMUNOLOGY,ORLADEYO,57.82,3
44,"AICHBHAUMIK, NILADRI",1437379369.0,ALLERGY & IMMUNOLOGY,HORIZON THERAPEUTICS PLC,FOOD AND BEVERAGE,ACTIMMUNE,ACTIMMUNE,16.28,1
45,"AICHBHAUMIK, NILADRI",1437379369.0,ALLERGY & IMMUNOLOGY,PFIZER INC.,FOOD AND BEVERAGE,IMMUNOLOGY,OCTAGAM IMMUNE GLOBULIN (HUMAN),13.57,1
46,"AILABOUNI, NABEEL",1043479876.0,FAMILY MEDICINE,NOVO NORDISK INC,FOOD AND BEVERAGE,DIABETES,OZEMPIC,15.59,1
47,"AJINKYA, SHAUN",1952750416.0,NEUROLOGY,ALMATICA PHARMA LLC,FOOD AND BEVERAGE,POSTHERPETIC NEURALGIA,GRALISE,11.95,1
48,"AJINKYA, SHAUN",1952750416.0,NEUROLOGY,BIOHAVEN PHARMACEUTICAL HOLDING COMPANY LTD.,FOOD AND BEVERAGE,PRIMARY CARE,NURTEC ODT,50.230000000000004,2
49,"AJINKYA, SHAUN",1952750416.0,NEUROLOGY,SUNOVION PHARMACEUTICALS INC.,FOOD AND BEVERAGE,CNS,APTIOM,14.92,1
